Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,
0,Instruct,User,-,You will now begin the study. Click next when you are ready to begin.,,Instruct16,
2,Study,2.5,2.5,,Smell,Win_1,
3,Study,2.5,2.5,,Smell,Win_2,
4,Study,2.5,2.5,,Smell,Win_3,
5,Study,2.5,2.5,,Smell,Win_4,
6,Study,2.5,2.5,,Smell,Win_5,
7,Study,2.5,2.5,,Smell,Win_6,
8,Study,2.5,2.5,,Smell,Win_7,
9,Study,2.5,2.5,,Smell,Win_8,
10,Study,2.5,2.5,,Smell,Win_9,
11,Study,2.5,2.5,,Smell,Win_10,
12,Study,2.5,2.5,,Smell,Win_11,
13,Study,2.5,2.5,,Smell,Win_12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
14,Study_SF,2.5,2.5,,Soft,R1,
15,Study_SF,2.5,2.5,,Soft,R2,
16,Study_SF,2.5,2.5,,Soft,R3,
17,Study_SF,2.5,2.5,,Soft,R4,
18,Study_SF,2.5,2.5,,Soft,R5,
19,Study_SF,2.5,2.5,,Soft,R6,
20,Study_SF,2.5,2.5,,Soft,R7,
21,Study_SF,2.5,2.5,,Soft,R8,
22,Study_SF,2.5,2.5,,Soft,R9,
23,Study_SF,2.5,2.5,,Soft,R10,
24,Study_SF,2.5,2.5,,Soft,R11,
25,Study_SF,2.5,2.5,,Soft,R12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
26,Study,2.5,2.5,,Sweet,A1,
27,Study,2.5,2.5,,Sweet,A2,
28,Study,2.5,2.5,,Sweet,A3,
29,Study,2.5,2.5,,Sweet,A4,
30,Study,2.5,2.5,,Sweet,A5,
31,Study,2.5,2.5,,Sweet,A6,
32,Study,2.5,2.5,,Sweet,A7,
33,Study,2.5,2.5,,Sweet,A8,
34,Study,2.5,2.5,,Sweet,A9,
35,Study,2.5,2.5,,Sweet,A10,
36,Study,2.5,2.5,,Sweet,A11,
37,Study,2.5,2.5,,Sweet,A12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
38,Study_SF,2.5,2.5,,Chair,T1,
39,Study_SF,2.5,2.5,,Chair,T2,
40,Study_SF,2.5,2.5,,Chair,T3,
41,Study_SF,2.5,2.5,,Chair,T4,
42,Study_SF,2.5,2.5,,Chair,T5,
43,Study_SF,2.5,2.5,,Chair,T6,
44,Study_SF,2.5,2.5,,Chair,T7,
45,Study_SF,2.5,2.5,,Chair,T8,
46,Study_SF,2.5,2.5,,Chair,T9,
47,Study_SF,2.5,2.5,,Chair,T10,
48,Study_SF,2.5,2.5,,Chair,T11,
49,Study_SF,2.5,2.5,,Chair,T12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
50,Study,2.5,2.5,,Mountain,D1,
51,Study,2.5,2.5,,Mountain,D2,
52,Study,2.5,2.5,,Mountain,D3,
53,Study,2.5,2.5,,Mountain,D4,
54,Study,2.5,2.5,,Mountain,D5,
55,Study,2.5,2.5,,Mountain,D6,
56,Study,2.5,2.5,,Mountain,D7,
57,Study,2.5,2.5,,Mountain,D8,
58,Study,2.5,2.5,,Mountain,D9,
59,Study,2.5,2.5,,Mountain,D10,
60,Study,2.5,2.5,,Mountain,D11,
61,Study,2.5,2.5,,Mountain,D12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
62,Study_SF,2.5,2.5,,Music,S1,
63,Study_SF,2.5,2.5,,Music,S2,
64,Study_SF,2.5,2.5,,Music,S3,
65,Study_SF,2.5,2.5,,Music,S4,
66,Study_SF,2.5,2.5,,Music,S5,
67,Study_SF,2.5,2.5,,Music,S6,
68,Study_SF,2.5,2.5,,Music,S7,
69,Study_SF,2.5,2.5,,Music,S8,
70,Study_SF,2.5,2.5,,Music,S9,
71,Study_SF,2.5,2.5,,Music,S10,
72,Study_SF,2.5,2.5,,Music,S11,
73,Study_SF,2.5,2.5,,Music,S12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
74,Study,2.5,2.5,,Rubber,RR1,
75,Study,2.5,2.5,,Rubber,RR2,
76,Study,2.5,2.5,,Rubber,RR3,
77,Study,2.5,2.5,,Rubber,RR4,
78,Study,2.5,2.5,,Rubber,RR5,
79,Study,2.5,2.5,,Rubber,RR6,
80,Study,2.5,2.5,,Rubber,RR7,
81,Study,2.5,2.5,,Rubber,RR8,
82,Study,2.5,2.5,,Rubber,RR9,
83,Study,2.5,2.5,,Rubber,RR10,
84,Study,2.5,2.5,,Rubber,RR11,
85,Study,2.5,2.5,,Rubber,RR12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
86,Study_SF,2.5,2.5,,Foot,B1,
87,Study_SF,2.5,2.5,,Foot,B2,
88,Study_SF,2.5,2.5,,Foot,B3,
89,Study_SF,2.5,2.5,,Foot,B4,
90,Study_SF,2.5,2.5,,Foot,B5,
91,Study_SF,2.5,2.5,,Foot,B6,
92,Study_SF,2.5,2.5,,Foot,B7,
93,Study_SF,2.5,2.5,,Foot,B8,
94,Study_SF,2.5,2.5,,Foot,B9,
95,Study_SF,2.5,2.5,,Foot,B10,
96,Study_SF,2.5,2.5,,Foot,B11,
97,Study_SF,2.5,2.5,,Foot,B12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
98,Study,2.5,2.5,,Girl,F1,
99,Study,2.5,2.5,,Girl,F2,
100,Study,2.5,2.5,,Girl,F3,
101,Study,2.5,2.5,,Girl,F4,
102,Study,2.5,2.5,,Girl,F5,
103,Study,2.5,2.5,,Girl,F6,
104,Study,2.5,2.5,,Girl,F7,
105,Study,2.5,2.5,,Girl,F8,
106,Study,2.5,2.5,,Girl,F9,
107,Study,2.5,2.5,,Girl,F10,
108,Study,2.5,2.5,,Girl,F11,
109,Study,2.5,2.5,,Girl,F12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
110,Study_SF,2.5,2.5,,Black,SS1,
111,Study_SF,2.5,2.5,,Black,SS2,
112,Study_SF,2.5,2.5,,Black,SS3,
113,Study_SF,2.5,2.5,,Black,SS4,
114,Study_SF,2.5,2.5,,Black,SS5,
115,Study_SF,2.5,2.5,,Black,SS6,
116,Study_SF,2.5,2.5,,Black,SS7,
117,Study_SF,2.5,2.5,,Black,SS8,
118,Study_SF,2.5,2.5,,Black,SS9,
119,Study_SF,2.5,2.5,,Black,SS10,
120,Study_SF,2.5,2.5,,Black,SS11,
121,Study_SF,2.5,2.5,,Black,SS12,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
0,FreeRecall,30,30,"Please type as many words as you can that begin with the letter ""C"". The computer will automatically advance to the next screen in 30 seconds.",,FILLER,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
