Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,
0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember each word on a later test using a 0-100 scale.",JOL instruct,JOL_Instruct,
0,Instruct,-,10,"For example, if you see the word ""dog"", a rating of 0 means you would not expect to remember this word at test, while a rating of 100 means you would definitely remember it. When making these ratings, it is important that you try to be as accurate as possible. Try to use the full range of the scale -- Don't just make ratings of only 0 or 100!",,,
0,Instruct,User,-,You will now begin the study. Click next when you are ready to begin.,,Instruct16,
2,JOL,User,-,,Window,Win_1,
3,JOL,User,-,,Window,Win_2,
4,JOL,User,-,,Window,Win_3,
5,JOL,User,-,,Window,Win_4,
6,JOL,User,-,,Window,Win_5,
7,JOL,User,-,,Window,Win_6,
8,JOL,User,-,,Window,Win_7,
9,JOL,User,-,,Window,Win_8,
10,JOL,User,-,,Window,Win_9,
11,JOL,User,-,,Window,Win_10,
12,JOL,User,-,,Window,Win_11,
13,JOL,User,-,,Window,Win_12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
14,JOL,User,-,,Rough,R1,
15,JOL,User,-,,Rough,R2,
16,JOL,User,-,,Rough,R3,
17,JOL,User,-,,Rough,R4,
18,JOL,User,-,,Rough,R5,
19,JOL,User,-,,Rough,R6,
20,JOL,User,-,,Rough,R7,
21,JOL,User,-,,Rough,R8,
22,JOL,User,-,,Rough,R9,
23,JOL,User,-,,Rough,R10,
24,JOL,User,-,,Rough,R11,
25,JOL,User,-,,Rough,R12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
26,JOL,User,-,,Anger,A1,
27,JOL,User,-,,Anger,A2,
28,JOL,User,-,,Anger,A3,
29,JOL,User,-,,Anger,A4,
30,JOL,User,-,,Anger,A5,
31,JOL,User,-,,Anger,A6,
32,JOL,User,-,,Anger,A7,
33,JOL,User,-,,Anger,A8,
34,JOL,User,-,,Anger,A9,
35,JOL,User,-,,Anger,A10,
36,JOL,User,-,,Anger,A11,
37,JOL,User,-,,Anger,A12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
38,JOL,User,-,,Trash,T1,
39,JOL,User,-,,Trash,T2,
40,JOL,User,-,,Trash,T3,
41,JOL,User,-,,Trash,T4,
42,JOL,User,-,,Trash,T5,
43,JOL,User,-,,Trash,T6,
44,JOL,User,-,,Trash,T7,
45,JOL,User,-,,Trash,T8,
46,JOL,User,-,,Trash,T9,
47,JOL,User,-,,Trash,T10,
48,JOL,User,-,,Trash,T11,
49,JOL,User,-,,Trash,T12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
50,JOL,User,-,,Doctor,D1,
51,JOL,User,-,,Doctor,D2,
52,JOL,User,-,,Doctor,D3,
53,JOL,User,-,,Doctor,D4,
54,JOL,User,-,,Doctor,D5,
55,JOL,User,-,,Doctor,D6,
56,JOL,User,-,,Doctor,D7,
57,JOL,User,-,,Doctor,D8,
58,JOL,User,-,,Doctor,D9,
59,JOL,User,-,,Doctor,D10,
60,JOL,User,-,,Doctor,D11,
61,JOL,User,-,,Doctor,D12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
62,JOL,User,-,,Slow,S1,
63,JOL,User,-,,Slow,S2,
64,JOL,User,-,,Slow,S3,
65,JOL,User,-,,Slow,S4,
66,JOL,User,-,,Slow,S5,
67,JOL,User,-,,Slow,S6,
68,JOL,User,-,,Slow,S7,
69,JOL,User,-,,Slow,S8,
70,JOL,User,-,,Slow,S9,
71,JOL,User,-,,Slow,S10,
72,JOL,User,-,,Slow,S11,
73,JOL,User,-,,Slow,S12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
74,JOL,User,-,,River,RR1,
75,JOL,User,-,,River,RR2,
76,JOL,User,-,,River,RR3,
77,JOL,User,-,,River,RR4,
78,JOL,User,-,,River,RR5,
79,JOL,User,-,,River,RR6,
80,JOL,User,-,,River,RR7,
81,JOL,User,-,,River,RR8,
82,JOL,User,-,,River,RR9,
83,JOL,User,-,,River,RR10,
84,JOL,User,-,,River,RR11,
85,JOL,User,-,,River,RR12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
86,JOL,User,-,,Bread,B1,
87,JOL,User,-,,Bread,B2,
88,JOL,User,-,,Bread,B3,
89,JOL,User,-,,Bread,B4,
90,JOL,User,-,,Bread,B5,
91,JOL,User,-,,Bread,B6,
92,JOL,User,-,,Bread,B7,
93,JOL,User,-,,Bread,B8,
94,JOL,User,-,,Bread,B9,
95,JOL,User,-,,Bread,B10,
96,JOL,User,-,,Bread,B11,
97,JOL,User,-,,Bread,B12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
98,JOL,User,-,,Flag,F1,
99,JOL,User,-,,Flag,F2,
100,JOL,User,-,,Flag,F3,
101,JOL,User,-,,Flag,F4,
102,JOL,User,-,,Flag,F5,
103,JOL,User,-,,Flag,F6,
104,JOL,User,-,,Flag,F7,
105,JOL,User,-,,Flag,F8,
106,JOL,User,-,,Flag,F9,
107,JOL,User,-,,Flag,F10,
108,JOL,User,-,,Flag,F11,
109,JOL,User,-,,Flag,F12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
110,JOL,User,-,,Shirt,SS1,
111,JOL,User,-,,Shirt,SS2,
112,JOL,User,-,,Shirt,SS3,
113,JOL,User,-,,Shirt,SS4,
114,JOL,User,-,,Shirt,SS5,
115,JOL,User,-,,Shirt,SS6,
116,JOL,User,-,,Shirt,SS7,
117,JOL,User,-,,Shirt,SS8,
118,JOL,User,-,,Shirt,SS9,
119,JOL,User,-,,Shirt,SS10,
120,JOL,User,-,,Shirt,SS11,
121,JOL,User,-,,Shirt,SS12,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
0,FreeRecall,60,60,"Please type as many words as you can that begin with the letter ""C"". The computer will automatically advance to the next screen in 60 seconds.",,FILLER,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
0,Instruct,User,10,"Your memory will now be tested. You will be presented with a series of words. If the word on the screen was previously studied, please select YES. If the word was not studied, select NO.  PLEASE DO NOT SKIP ITEMS! Click next when you are ready to begin.",,Instruct_stuff,
122,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
123,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
124,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
125,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2
126,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2
127,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2
128,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
129,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
130,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
131,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2
132,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2
133,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2
134,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
135,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
136,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2
