Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time
0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested!",Initial_Instruct,Instruct1,,No,,
0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember each item on a later memory test using a 0-100 scale. For example,  if you study the word DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct13,,No,,
0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,
0,Instruct,User,-,You will now begin the study. Click next when you are ready to begin.,,Instruct16,,No,,
2,Study,4,4,,Window,Win_1,2,JOL,5,5
3,Study,4,4,,Window,Win_2,3,JOL,5,5
4,Study,4,4,,Window,Win_3,4,JOL,5,5
5,Study,4,4,,Window,Win_4,5,JOL,5,5
6,Study,4,4,,Window,Win_5,6,JOL,5,5
7,Study,4,4,,Window,Win_6,7,JOL,5,5
8,Study,4,4,,Window,Win_7,8,JOL,5,5
9,Study,4,4,,Window,Win_8,9,JOL,5,5
10,Study,4,4,,Window,Win_9,10,JOL,5,5
11,Study,4,4,,Window,Win_10,11,JOL,5,5
12,Study,4,4,,Window,Win_11,12,JOL,5,5
13,Study,4,4,,Window,Win_12,13,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,,,
14,Study,4,4,,Rough,R1,14,JOL,5,5
15,Study,4,4,,Rough,R2,15,JOL,5,5
16,Study,4,4,,Rough,R3,16,JOL,5,5
17,Study,4,4,,Rough,R4,17,JOL,5,5
18,Study,4,4,,Rough,R5,18,JOL,5,5
19,Study,4,4,,Rough,R6,19,JOL,5,5
20,Study,4,4,,Rough,R7,20,JOL,5,5
21,Study,4,4,,Rough,R8,21,JOL,5,5
22,Study,4,4,,Rough,R9,22,JOL,5,5
23,Study,4,4,,Rough,R10,23,JOL,5,5
24,Study,4,4,,Rough,R11,24,JOL,5,5
25,Study,4,4,,Rough,R12,25,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,,,
26,Study,4,4,,Anger,A1,26,JOL,5,5
27,Study,4,4,,Anger,A2,27,JOL,5,5
28,Study,4,4,,Anger,A3,28,JOL,5,5
29,Study,4,4,,Anger,A4,29,JOL,5,5
30,Study,4,4,,Anger,A5,30,JOL,5,5
31,Study,4,4,,Anger,A6,31,JOL,5,5
32,Study,4,4,,Anger,A7,32,JOL,5,5
33,Study,4,4,,Anger,A8,33,JOL,5,5
34,Study,4,4,,Anger,A9,34,JOL,5,5
35,Study,4,4,,Anger,A10,35,JOL,5,5
36,Study,4,4,,Anger,A11,36,JOL,5,5
37,Study,4,4,,Anger,A12,37,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,,,
38,Study,4,4,,Trash,T1,38,JOL,5,5
39,Study,4,4,,Trash,T2,39,JOL,5,5
40,Study,4,4,,Trash,T3,40,JOL,5,5
41,Study,4,4,,Trash,T4,41,JOL,5,5
42,Study,4,4,,Trash,T5,42,JOL,5,5
43,Study,4,4,,Trash,T6,43,JOL,5,5
44,Study,4,4,,Trash,T7,44,JOL,5,5
45,Study,4,4,,Trash,T8,45,JOL,5,5
46,Study,4,4,,Trash,T9,46,JOL,5,5
47,Study,4,4,,Trash,T10,47,JOL,5,5
48,Study,4,4,,Trash,T11,48,JOL,5,5
49,Study,4,4,,Trash,T12,49,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,No,,
50,Study,4,4,,Doctor,D1,50,JOL,5,5
51,Study,4,4,,Doctor,D2,51,JOL,5,5
52,Study,4,4,,Doctor,D3,52,JOL,5,5
53,Study,4,4,,Doctor,D4,53,JOL,5,5
54,Study,4,4,,Doctor,D5,54,JOL,5,5
55,Study,4,4,,Doctor,D6,55,JOL,5,5
56,Study,4,4,,Doctor,D7,56,JOL,5,5
57,Study,4,4,,Doctor,D8,57,JOL,5,5
58,Study,4,4,,Doctor,D9,58,JOL,5,5
59,Study,4,4,,Doctor,D10,59,JOL,5,5
60,Study,4,4,,Doctor,D11,60,JOL,5,5
61,Study,4,4,,Doctor,D12,61,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,No,,
62,Study,4,4,,Slow,S1,62,JOL,5,5
63,Study,4,4,,Slow,S2,63,JOL,5,5
64,Study,4,4,,Slow,S3,64,JOL,5,5
65,Study,4,4,,Slow,S4,65,JOL,5,5
66,Study,4,4,,Slow,S5,66,JOL,5,5
67,Study,4,4,,Slow,S6,67,JOL,5,5
68,Study,4,4,,Slow,S7,68,JOL,5,5
69,Study,4,4,,Slow,S8,69,JOL,5,5
70,Study,4,4,,Slow,S9,70,JOL,5,5
71,Study,4,4,,Slow,S10,71,JOL,5,5
72,Study,4,4,,Slow,S11,72,JOL,5,5
73,Study,4,4,,Slow,S12,73,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,No,,
74,Study,4,4,,River,RR1,74,JOL,5,5
75,Study,4,4,,River,RR2,75,JOL,5,5
76,Study,4,4,,River,RR3,76,JOL,5,5
77,Study,4,4,,River,RR4,77,JOL,5,5
