Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Each word will be displayed for 8 seconds. Click next when you are ready to begin.",Initial_Instruct,Instruct1,
0,Instruct,User,-,You will now begin the study. Click next when you are ready to begin.,,Instruct16,
2,Study,8,8,,Window,Win_1,
3,Study,8,8,,Window,Win_2,
4,Study,8,8,,Window,Win_3,
5,Study,8,8,,Window,Win_4,
6,Study,8,8,,Window,Win_5,
7,Study,8,8,,Window,Win_6,
8,Study,8,8,,Window,Win_7,
9,Study,8,8,,Window,Win_8,
10,Study,8,8,,Window,Win_9,
11,Study,8,8,,Window,Win_10,
12,Study,8,8,,Window,Win_11,
13,Study,8,8,,Window,Win_12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
14,Study,8,8,,Rough,R1,
15,Study,8,8,,Rough,R2,
16,Study,8,8,,Rough,R3,
17,Study,8,8,,Rough,R4,
18,Study,8,8,,Rough,R5,
19,Study,8,8,,Rough,R6,
20,Study,8,8,,Rough,R7,
21,Study,8,8,,Rough,R8,
22,Study,8,8,,Rough,R9,
23,Study,8,8,,Rough,R10,
24,Study,8,8,,Rough,R11,
25,Study,8,8,,Rough,R12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
26,Study,8,8,,Anger,A1,
27,Study,8,8,,Anger,A2,
28,Study,8,8,,Anger,A3,
29,Study,8,8,,Anger,A4,
30,Study,8,8,,Anger,A5,
31,Study,8,8,,Anger,A6,
32,Study,8,8,,Anger,A7,
33,Study,8,8,,Anger,A8,
34,Study,8,8,,Anger,A9,
35,Study,8,8,,Anger,A10,
36,Study,8,8,,Anger,A11,
37,Study,8,8,,Anger,A12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
38,Study,8,8,,Trash,T1,
39,Study,8,8,,Trash,T2,
40,Study,8,8,,Trash,T3,
41,Study,8,8,,Trash,T4,
42,Study,8,8,,Trash,T5,
43,Study,8,8,,Trash,T6,
44,Study,8,8,,Trash,T7,
45,Study,8,8,,Trash,T8,
46,Study,8,8,,Trash,T9,
47,Study,8,8,,Trash,T10,
48,Study,8,8,,Trash,T11,
49,Study,8,8,,Trash,T12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
50,Study,8,8,,Doctor,D1,
51,Study,8,8,,Doctor,D2,
52,Study,8,8,,Doctor,D3,
53,Study,8,8,,Doctor,D4,
54,Study,8,8,,Doctor,D5,
55,Study,8,8,,Doctor,D6,
56,Study,8,8,,Doctor,D7,
57,Study,8,8,,Doctor,D8,
58,Study,8,8,,Doctor,D9,
59,Study,8,8,,Doctor,D10,
60,Study,8,8,,Doctor,D11,
61,Study,8,8,,Doctor,D12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
62,Study,8,8,,Slow,S1,
63,Study,8,8,,Slow,S2,
64,Study,8,8,,Slow,S3,
65,Study,8,8,,Slow,S4,
66,Study,8,8,,Slow,S5,
67,Study,8,8,,Slow,S6,
68,Study,8,8,,Slow,S7,
69,Study,8,8,,Slow,S8,
70,Study,8,8,,Slow,S9,
71,Study,8,8,,Slow,S10,
72,Study,8,8,,Slow,S11,
73,Study,8,8,,Slow,S12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
74,Study,8,8,,River,RR1,
75,Study,8,8,,River,RR2,
76,Study,8,8,,River,RR3,
77,Study,8,8,,River,RR4,
78,Study,8,8,,River,RR5,
79,Study,8,8,,River,RR6,
80,Study,8,8,,River,RR7,
81,Study,8,8,,River,RR8,
82,Study,8,8,,River,RR9,
83,Study,8,8,,River,RR10,
84,Study,8,8,,River,RR11,
85,Study,8,8,,River,RR12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
86,Study,8,8,,Bread,B1,
87,Study,8,8,,Bread,B2,
88,Study,8,8,,Bread,B3,
89,Study,8,8,,Bread,B4,
90,Study,8,8,,Bread,B5,
91,Study,8,8,,Bread,B6,
