"Username","Trial","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Procedure.Notes","Procedure.Shuffle","Response.RT","Response.Response","Response.JOL"
"5671927473f58b000d664293",4,4,"Global D","Kiwi","Kiwi","R1","Related",8,4,"Study","Related","R1",4063,"",NA
"5671927473f58b000d664293",5,4,"Global D","Peach","Peach","R1","Related",6,8,"Study","Related","R1",2275,"",NA
"5671927473f58b000d664293",6,4,"Global D","Cherry","Cherry","R1","Related",11,12,"Study","Related","R1",2102,"",NA
"5671927473f58b000d664293",7,4,"Global D","Grape","Grape","R1","Related",4,7,"Study","Related","R1",1692,"",NA
"5671927473f58b000d664293",8,4,"Global D","Pear","Pear","R1","Related",5,5,"Study","Related","R1",2268,"",NA
"5671927473f58b000d664293",9,4,"Global D","Lemon","Lemon","R1","Related",12,13,"Study","Related","R1",1576,"",NA
"5671927473f58b000d664293",10,4,"Global D","Plum","Plum","R1","Related",9,6,"Study","Related","R1",2084,"",NA
"5671927473f58b000d664293",11,4,"Global D","Strawberry","Strawberry","R1","Related",7,10,"Study","Related","R1",1893,"",NA
"5671927473f58b000d664293",12,4,"Global D","Mango","Mango","R1","Related",10,11,"Study","Related","R1",1671,"",NA
"5671927473f58b000d664293",13,4,"Global D","Banana","Banana","R1","Related",3,9,"Study","Related","R1",1775,"",NA
"5671927473f58b000d664293",14,4,"Global D","Apple","Apple","R1","Related",1,2,"Study","Related","R1",2110,"",NA
"5671927473f58b000d664293",15,4,"Global D","Orange","Orange","R1","Related",2,3,"Study","Related","R1",1944,"",NA
"5671927473f58b000d664293",17,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Related","JOL1",6000,"",80
"5671927473f58b000d664293",21,4,"Global D","","","","",NA,0,"FreeRecall","Related","RECALL_Test1",65001,"Banana Peach Lemon Apple Strawberry Kiwi Pear Plum Grape Cherry",NA
"5671927473f58b000d664293",23,4,"Global D","Document","Document","U1","Unrelated",15,14,"Study","Unrelated","U1",3365,"",NA
"5671927473f58b000d664293",24,4,"Global D","Kayak","Kayak","U1","Unrelated",20,19,"Study","Unrelated","U1",2237,"",NA
"5671927473f58b000d664293",25,4,"Global D","Bean","Bean","U1","Unrelated",22,23,"Study","Unrelated","U1",2622,"",NA
"5671927473f58b000d664293",26,4,"Global D","Yellow","Yellow","U1","Unrelated",19,21,"Study","Unrelated","U1",2695,"",NA
"5671927473f58b000d664293",27,4,"Global D","Bed","Bed","U1","Unrelated",14,17,"Study","Unrelated","U1",2001,"",NA
"5671927473f58b000d664293",28,4,"Global D","Flea","Flea","U1","Unrelated",21,22,"Study","Unrelated","U1",3361,"",NA
"5671927473f58b000d664293",29,4,"Global D","Mint","Mint","U1","Unrelated",17,16,"Study","Unrelated","U1",1914,"",NA
"5671927473f58b000d664293",30,4,"Global D","Frog","Frog","U1","Unrelated",13,20,"Study","Unrelated","U1",2602,"",NA
"5671927473f58b000d664293",31,4,"Global D","Shirt","Shirt","U1","Unrelated",18,18,"Study","Unrelated","U1",2980,"",NA
